"","taxonomic_id","level","kingdom","subkingdom","phylum_division","subphylum_subdivision","class","subclass","order","family","subfamily","tribe","genus","species","infrakingdom","superorder","phylum","subphylum","superclass","infraclass","suborder","infraorder","superfamily","parvorder","subterclass","section","subsection","infraphylum","parvphylum","gigaclass","subgenus","forma","megaclass"
"1",-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",51,"Phylum","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",55,"Class","Animalia",NA,NA,NA,"Polyplacophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",101,"Class","Animalia",NA,NA,NA,"Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",105,"Class","Animalia",NA,NA,NA,"Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",111,"Family","Animalia",NA,NA,NA,"Gastropoda","Vetigastropoda","Lepetellida","Fissurellidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Fissurelloidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",120,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Hydrobiidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Truncatelloidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",123,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Rissoidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Rissooidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",126,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Caecidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Truncatelloidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",127,"family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Caenogastropoda incertae sedis","Turritellidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Cerithioidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",128,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Caenogastropoda incertae sedis","Cerithiidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Cerithioidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",130,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Caenogastropoda incertae sedis","Cerithiopsidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Triphoroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",135,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Eulimidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Vanikoroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",141,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Calyptraeoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",143,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Velutinidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Velutinoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",148,"family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Neogastropoda","Muricidae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Muricoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",152,"Family","Animalia",NA,NA,NA,"Gastropoda","Caenogastropoda","Neogastropoda","Turridae",NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,"Conoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
